Root,Sample Word,Sample Word Meaning
آدَم‎, آدَم,Adam
آزَر‎, آزَر,Azar
أَبَارِيق‎, أَبَارِيق,"jugs, pitchers"
أ ب ب‎, أَبّ,"grass, herbage, pasture"
أ ب د‎, أَبَدًا,"forever, ever"
إِبْرَاهِيم‎, إِبْرَاهِيم,Ibrahim
أ ب ق‎, أَبَقَ,"to run away, to flee"
أ ب ل‎, أَبَابِيل,flocks
إِبْلِيس‎, إِبْلِيس,Iblis
أ ب و‎, آبَاء,"forefathers, fathers, parents"
أ ب ي‎, أَبَى,to refuse
أ ت ي‎, أَتَى,"to come, to bring"
أ ث ث‎, أَثَٰث,"furnishings, possessions, wealth"
أ ث ر‎, يُؤْثَرُ,"to transmit, to be related"
أ ث ل‎, أَثْل,tamarisk
أ ث م‎, إِثْم,sin
أ ج ج‎, أُجَاج,"salty, bitter"
أ ج ر‎, تَأْجُرَ,to work for recompense
أ ج ل‎, أَجَّلَ,to appoint
أ ح د‎, أَحَد,"one, anyone"
أ خ ذ‎, أَخَذَ,"to take, to seize"
أ خ ر‎, أَخَّرَ,"to delay, to give respite"
أ خ و‎, أَخ,brother
أ د د‎, إِدّ,atrocious
أ د ي‎, يُؤَدِّ,"to discharge, to deliver"
إِذ‎, إِذ,when
إِذَا‎, إِذَا,when
إِذًا‎, إِذًا,then
أ ذ ن‎, أَذِنَ,to permit
أ ذ ي‎, أُوذِىَ,"to harm, to trouble"
أ ر ب‎, إِرْبَة,physical desire
أ ر ض‎, أَرْض,"the Earth, land"
أ ر ك‎, أَرَآئِك,"couches, thrones"
إِرَم‎, إِرَم,Iram
أ ز ر‎, آزَرَ,to strengthen
أ ز ز‎, تَؤُزُّ,to incite
أ ز ف‎, أَزِفَتِ,to approach
إِسْتَبْرَق‎, إِسْتَبْرَق,"brocade, heavy silk"
إِسْحَاق‎, إِسْحَاق,Isaac
أ س ر‎, تَأْسِرُ,to take captive
إِسْرَائِيل‎, إِسْرَائِيل,Israel
أ س س‎, أَسَّسَ,to found
أ س ف‎, ءَاسَفُ,to anger
إِسْمَاعِيل‎, إِسْمَاعِيل,Ishmael
أ س ن‎, ءَاسِن,polluted
أ س و‎, تَأْسَ,to grieve
أ ش ر‎, أَشِر,insolent
أ ص ر‎, إِصْر,"burden, covenant"
أ ص ل‎, أَصْل,"root, bottom"
أ ف ف‎, أُفّ,uff
أ ف ق‎, أُفُق,horizon
أ ف ك‎, أُفِكَ,"to delude, to turn away"
أ ف ل‎, أَفَلَ,to set
أ ك ل‎, أَكَلَ,"to eat, to consume"
أ ل ت‎, أَلَتْ,to deprive
أ ل ف‎, أَلَّفَ,"to join, to reconcile"
أ ل ل‎, إِلّ,kinship
إِلَّا‎, إِلَّا,except
ٱلَّذِى‎, ٱلَّذِى,"who, which, that"
أ ل م‎, يَأْلَمُ,to suffer
أ ل ه‎, إِلَٰه,god
أ ل و‎, يَأْلُ,to spare
إِلَىٰ‎, إِلَىٰ,"to, toward, until"
إِلْيَاس‎, إِلْيَاس,Elijah
ٱلْيَسَعَ‎, ٱلْيَسَعَ,Elisha
أَم‎, أَم,or
أ م ت‎, أَمْت,curve
أ م د‎, أَمَد,"distance, time, term"
أ م ر‎, أَمَرَ,"to order, to command"
أَمْس‎, أَمْس,"yesterday, the previous day"
أ م ل‎, أَمَل,hope
أ م م‎, أُمّ,"mother, foundation, final abode"
أَمَّا‎, فَأَمَّا,Then as for
إِمَّا‎, إِمَّا,Whether
أ م ن‎, أَمِنَ,to feel secure
أ م و‎, وَلَأَمَةٌ,And a bondwoman
أ ن ث‎, وَالْأُنْثَىٰ,and the female
أ ن س‎, ءَانَسَ,to perceive
أ ن ف‎, وَالْأَنْفَ,and the nose
أ ن م‎, لِلْأَنَامِ,for the creatures
أ ن ي‎, يَأْنِ,to come (time)
أ ه ل‎, أَهْلِ,(the) People
أ و ب‎, أَوِّبِ,to repeat
أ و د‎, يَـُٔودُ,to tire
أ و ل‎, أَوَّلَ,(the) first
أ و ه‎, لَأَوَّاهٌ,(was) compassionate
أ و ي‎, أَوَى,to seek shelter
أ ي د‎, أَيَّدَ,"to support, to strengthen"
أ ي م‎, الْأَيَامَىٰ,the single
أ ي ي‎, بِآيَاتِنَا,Our Signs
ب أ ر‎, وَبِئْرٍ,and well
ب أ س‎, بِئْسَ,"to be wretched, to be evil"
ب ت ر‎, الْأَبْتَرُ,the one cut off
ب ت ك‎, يُبَتِّكُ,to cut off
ب ت ل‎, تَبَتَّلْ,to devote
ب ث ث‎, بَثَّ,to disperse
ب ج س‎, ٱنۢبَجَسَتْ,"to gush, to flow"
ب ح ث‎, يَبْحَثُ,"to search, to scratch"
ب ح ر‎, الْبَحْرَ,the sea
ب خ س‎, يَبْخَسْ,"to diminish, to deprive"
ب خ ع‎, بَاخِعٌ,the one who kills
ب خ ل‎, بَخِلَ,"to be stingy, to withhold"
ب د أ‎, بَدَأَ,"to begin, to originate"
ب د ر‎, وَبِدَارًا,and hastily
ب د ع‎, ٱبْتَدَعُ,to innovate
ب د ل‎, بَدَّلَ,to change
ب د ن‎, بِبَدَنِكَ,in your body
ب د و‎, بَدَا,to become apparent
ب ذ ر‎, تُبَذِّرْ,"to squander, to waste"
ب ر أ‎, نَّبْرَأَ,to bring into existence
ب ر ج‎, تَبَرَّجْ,to display
ب ر ح‎, أَبْرَحَ,"to leave, to cease"
ب ر د‎, بَرْدًا,cool[ness]
ب ر ر‎, تَبَرُّ,"to be good, to be kind"
ب ر ز‎, بَرَزَ,"to come forth, to go out"
ب ر ص‎, وَالْأَبْرَصَ,and the leper
ب ر ق‎, بَرِقَ,"to be dazzled, to be frightened"
ب ر ك‎, بَٰرَكَ,to bless
ب ر م‎, أَبْرَمُ,"to determine, to conclude"
ب ر ه ن‎, بُرْهَانَكُمْ,your proof
ب ز غ‎, بَازِغًا,rising
ب س ر‎, بَسَرَ,"to scowl, to frown"
ب س س‎, بُسَّتِ,"to crumble, to crush"
ب س ط‎, بَسَطَ,"to extend, to stretch"
ب س ق‎, بَاسِقَاتٍ,tall 
ب س ل‎, أُبْسِلُ,to give up to destruction
ب س م‎, تَبَسَّمَ,to smile
ب ش ر‎, بُشِّرَ,to give glad tidings
ب ص ر‎, بَصُرَتْ,"to perceive, to watch"
ب ص ل‎, وَبَصَلِهَا,and its onions
ب ض ع‎, بِضَاعَةً,(as) a merchandise
ب ط أ‎, يُبَطِّئَ,to lag behind
ب ط ر‎, بَطِرَتْ,to take lightly
ب ط ش‎, بَطَشْ,to seize
ب ط ل‎, بَطَلَ,to become futile
ب ط ن‎, بَطَنَ,to be concealed
ب ع ث‎, بَعَثَ,"to raise, to resurrect, to send"
ب ع ث ر‎, بُعْثِرَ,"to overturn, to scatter"
ب ع د‎, بَعُدَتْ,"to become distant, to take away"
ب ع ر‎, بَعِيرٍ,(of) a camel's (load)
ب ع ض‎, بَعْضُكُمْ,some of you
ب ع ل‎, بَعْل,Proper noun
ب غ ت‎, بَغْتَةً,suddenly
ب غ ض‎, الْبَغْضَاءُ,the hatred
ب غ ل‎, وَالْبِغَالَ,and mules
ب غ ي‎, بَغَىٰ,"to seek, to oppress"
ب ق ر‎, الْبَقَرَ,[the] cows
ب ق ع‎, الْبُقْعَةِ,the place even
ب ق ل‎, بَقْلِهَا,its herbs
ب ق ي‎, بَقِىَ,to remain
ب ك ر‎, وَالْإِبْكَارِ,and (in) the morning
ب ك م‎, بُكْمٌ,dumb
ب ك ي‎, بَكَتْ,to weep
ب ل د‎, بَلَدًا,a city
ب ل س‎, يُبْلِسُ,to despair
ب ل ع‎, ٱبْلَعِ,to swallow
ب ل غ‎, بَلَغَ,to reach
ب ل و‎, بَلَوْ,to test
ب ن ن‎, بَنَانٍ,fingertip[s]
ب ن ي‎, بَنَىٰ,"to construct, to build"
ب ه ت‎, بُهِتَ,"to be bewildered, to be dumbfounded"
ب ه ج‎, بَهْجَةٍ,of beauty (and delight)
ب ه ل‎, نَبْتَهِلْ,to pray humbly
ب ه م‎, بَهِيمَةُ,the quadruped
ب و أ‎, بَآءَ,"to incur, to turn back"
ب و ب‎, الْبَابَ,the gate
ب و ر‎, يَبُورُ,to perish
ب و ل‎, بَالُ,(is the) case
ب ي ت‎, يَبِيتُ,to spend the night
ب ي د‎, تَبِيدَ,to be perished
ب ي ض‎, ٱبْيَضَّتْ,to become white
ب ي ع‎, بَايَعْ,to pledge allegiance
ب ي ن‎, بَيَّنُ,to make clear
ت ب ب‎, تَبَّ,to perish
ت ب ر‎, تَبَّرْ,to destroy
ت ب ع‎, تَبِعَ,to follow
ت ج ر‎, تِجَارَتُهُمْ,their commerce
ت ح ت‎, تَحْتِهَا,under them
ت ر ب‎, أَتْرَابٌ,well-matched
ت ر ف‎, أُتْرِفُ,to give luxury
ت ر ق‎, التَّرَاقِيَ,the collar bones
ت ر ك‎, تَرَكَ,to leave
ت س ع‎, تِسْعَ,nine
ت ع س‎, فَتَعْسًا,destruction (is)
ت ف ث‎, تَفَثَهُمْ,their prescribed duties
ت ق ن‎, أَتْقَنَ,to perfect
ت ل ل‎, تَلَّ,to put down
ت ل و‎, تَلَىٰ,to recite
ت م م‎, تَمَّ,"to be fulfilled, to be completed"
ت و ب‎, تَابَ,"to repent, to turn"
ت و ر‎, تَارَةً,another time
ت ي ن‎, وَالتِّينِ,By the fig
ت ي ه‎, يَتِيهُ,to wander
ث ب ت‎, ٱثْبُتُ,to be firm
ث ب ر‎, ثُبُورًا,(for) destruction
ث ب ط‎, ثَبَّطَ,to make lag behind
ث ب ي‎, ثُبَاتٍ,(in) groups
ث ج ج‎, ثَجَّاجًا,pouring abundantly
ث خ ن‎, أَثْخَن,"to battle, to subdue"
ث ر ب‎, تَثْرِيبَ,blame
ث ر ي‎, الثَّرَىٰ,the soil
ث ع ب‎, ثُعْبَانٌ,(was) a serpent
ث ق ب‎, الثَّاقِبُ,the piercing
ث ق ف‎, ثُقِفُ,"to find, to gain dominance"
ث ق ل‎, ثَقُلَتْ,to be heavy
ث ل ث‎, ثَالِثُ,(is the) third
ث ل ل‎, ثُلَّةٌ,A company
ث م ر‎, أَثْمَرَ,to bear fruit
ث م ن‎, وَثَامِنُهُمْ,and the eight of them
ث ن ي‎, يَثْنُ,to fold up
ث و ب‎, ثُوِّبَ,to reward
ث و ر‎, أَثَارُ,"to raise, to plough"
ث و ي‎, مَثْوَى,(is the) abode
ث ي ب‎, ثَيِّبَاتٍ,previously married
ج أ ر‎, يَجْـَٔرُ,to cry for help
ج ب ب‎, الْجُبِّ,(of) the well
ج ب ت‎, بِالْجِبْتِ,in the superstition
ج ب ر‎, جَبَّارِينَ,(of) tyrannical strength
ج ب ل‎, جَبَلٍ,hill
ج ب ن‎, لِلْجَبِينِ,upon his forehead
ج ب ه‎, جِبَاهُهُمْ,their foreheads
ج ب ي‎, يُجْبَىٰٓ,"to bring, to gather"
ج ث ث‎, ٱجْتُثَّتْ,to uproot
ج ث م‎, جَاثِمِينَ,fallen prone
ج ث و‎, جِثِيًّا,bent (on) knees
ج ح د‎, جَحَدُ,"to reject, to deny"
ج ح م‎, الْجَحِيمِ,(of) the blazing Fire
ج د ث‎, الْأَجْدَاثِ,the graves
ج د د‎, جَدُّ,(the) Majesty
ج د ر‎, وَأَجْدَرُ,and more likely
ج د ل‎, جَٰدَلُ,"to argue, to dispute"
ج ذ ذ‎, جُذَاذًا,(into) pieces
ج ذ ع‎, جِذْعِ,(the) trunk
ج ذ و‎, جَذْوَةٍ,a burning wood
ج ر ح‎, جَرَحْ,to commit
ج ر د‎, وَالْجَرَادَ,and the locusts
ج ر ر‎, يَجُرُّ,to drag
ج ر ز‎, جُرُزًا,barren
ج ر ع‎, يَتَجَرَّعُ,to sip
ج ر ف‎, جُرُفٍ,(of) a cliff
ج ر م‎, يَجْرِمَ,to let incite
ج ر ي‎, جَرَيْ,"to flow, to run"
ج ز أ‎, جُزْءًا,a portion
ج ز ع‎, جَزِعْ,"to show intolerance, to be perturbed"
ج ز ي‎, جَزَىٰ,"to reward, to recompense"
ج س د‎, جَسَدًا,an image
ج س س‎, تَجَسَّسُ,to spy
ج س م‎, وَالْجِسْمِ,and [the] physique
ج ع ل‎, جَعَلَ,to make
ج ف أ‎, جُفَاءً,(as) scum
ج ف ن‎, وَجِفَانٍ,and bowls
ج ف و‎, تَتَجَافَىٰ,to forsake
ج ل ب‎, أَجْلِبْ,to raise
ج ل د‎, ٱجْلِدُ,to flog
ج ل س‎, الْمَجَالِسِ,the assemblies
ج ل ل‎, الْجَلَالِ,(of) Majesty
ج ل و‎, تَجَلَّىٰ,to reveal
ج م ح‎, يَجْمَحُ,to run wild
ج م د‎, جَامِدَةً,firmly fixed
ج م ع‎, جَمَعَ,"to gather, to collect"
ج م ل‎, جَمَالٌ,(is) beauty
ج م م‎, جَمًّا,immense
ج ن ب‎, ٱجْنُبْ,to keep away
ج ن ح‎, جَنَحُ,to incline
ج ن د‎, بِالْجُنُودِ,with the forces
ج ن ف‎, جَنَفًا,(any) error
ج ن ن‎, جَنَّ,to cover
ج ن ي‎, وَجَنَى,and (the) fruit
ج ه د‎, جَٰهَدَ,to strive
ج ه ر‎, جَهَرَ,to speak loudly
ج ه ز‎, جَهَّزَ,to furnish
ج ه ل‎, يَجْهَلُ,to be ignorant
ج و ب‎, جَابُ,to carve
ج و د‎, الْجِيَادُ,excellent bred steeds
ج و ر‎, يُجَاوِرُ,to be neighbours
ج و ز‎, جَاوَزَ,"to cross, to pass beyond"
ج و س‎, جَاسُ,to enter
ج و ع‎, تَجُوعَ,to be hungry
ج و ف‎, جَوْفِهِ,his interior
ج و و‎, جَوِّ,the midst
ج ي أ‎, جَآءَ,to come
ج ي ب‎, جُيُوبِهِنَّ,their bosoms
ج ي د‎, جِيدِهَا,her neck
ح ب ب‎, حَبَّبَ,to endear
ح ب ر‎, يُحْبَرُ,to delight
ح ب س‎, يَحْبِسُ,to detain
ح ب ط‎, حَبِطَ,to become worthless
ح ب ك‎, الْحُبُكِ,pathways
ح ب ل‎, بِحَبْلِ,to (the) rope
ح ت م‎, حَتْمًا,an inevitability
ح ث ث‎, حَثِيثًا,rapidly
ح ج ب‎, حِجَابٌ,(will be) a partition
ح ج ج‎, حَجَّ,"to perform pilgrimage, to argue"
ح ج ر‎, وَالْحِجَارَةُ,and [the] stones
ح ج ز‎, حَاجِزًا,a barrier
ح د ب‎, حَدَبٍ,elevation
ح د ث‎, تُحَدِّثُ,"to report, to narate"
ح د د‎, يُحَآدُّ,to oppose
ح د ق‎, حَدَائِقَ,gardens
ح ذ ر‎, يَحْذَرُ,"to fear, to beware"
ح ر ب‎, حَارَبَ,to wage war
ح ر ث‎, تَحْرُثُ,to sow
ح ر ج‎, حَرَجًا,any discomfort
ح ر د‎, حَرْدٍ,determination
ح ر ر‎, الْحَرِّ,the heat
ح ر س‎, حَرَسًا,guards
ح ر ص‎, حَرَصْ,to desire
ح ر ض‎, حَرِّضِ,"to urge, to encourage"
ح ر ف‎, يُحَرِّفُ,to distort
ح ر ق‎, حَرِّقُ,to burn
ح ر ك‎, تُحَرِّكْ,to move
ح ر م‎, حَرَّمَ,"to forbid, to make unlawful"
ح ر ي‎, تَحَرَّ,to seek
ح ز ب‎, حِزْبَ,(the) party
ح ز ن‎, يَحْزُن,to grieve
ح س ب‎, حَسِبَ,to think
ح س د‎, حَسَدَ,to envy
ح س ر‎, يَسْتَحْسِرُ,to tire
ح س س‎, تَحُسُّ,"to inquire, to kill"
ح س م‎, حُسُومًا,(in) succession
ح س ن‎, حَسُنَ,"to be the best, to be good"
ح ش ر‎, حَشَرَ,"to gather, to raise"
ح ص ب‎, حَصَبُ,(are) firewood
ح ص ح ص‎, حَصْحَصَ,to become manifest
ح ص د‎, حَصَد,to reap
ح ص ر‎, حَصِرَتْ,"to restrain, to besiege"
ح ص ل‎, حُصِّلَ,to make apparent
ح ص ن‎, أَحْصَنَتْ,"to guard, to protect"
ح ص ي‎, أَحْصَىٰ,"to count, to calculate, to enumerate"
ح ض ر‎, حَضَرَ,"to approach, to attend"
ح ض ض‎, يَحُضُّ,to feel the urge
ح ط ب‎, حَطَبًا,firewood
ح ط ط‎, حِطَّةٌ,Repentance
ح ط م‎, يَحْطِمَ,to crush
ح ظ ر‎, مَحْظُورًا,restricted
ح ظ ظ‎, حَظًّا,any portion
ح ف د‎, وَحَفَدَةً,and grandsons
ح ف ر‎, الْحَافِرَةِ,the former state
ح ف ظ‎, حَفِظَ,"to guard, to protect"
ح ف ف‎, حَفَفْ,to border
ح ف و‎, يُحْفِ,to press
ح ق ب‎, أَحْقَاب,Time adverb
ح ق ف‎, أَحْقَاف,Proper noun
ح ق ق‎, حَقَّ,"to justify, to prove true"
ح ك م‎, حَكَمَ,to judge
ح ل ف‎, حَلَفْ,to swear
ح ل ق‎, تَحْلِقُ,to shave
ح ل ل‎, حَلَلْ,"to descend, to be lawful"
ح ل م‎, أَحْلَامٍ,dreams
ح ل ي‎, حُلُّ,to adorn
ح م أ‎, حَمَإٍ,black mud
ح م د‎, يُحْمَدُ,to praise
ح م ر‎, حِمَارِكَ,your donkey
ح م ل‎, حَمَلَ,"to carry, to bear"
ح م م‎, حَمِيمٍ,boiling water
ح م ي‎, يُحْمَىٰ,to heat
ح ن ث‎, تَحْنَثْ,to break oath
ح ن ج ر‎, الْحَنَاجِرَ,the throats
ح ن ذ‎, حَنِيذٍ,roasted
ح ن ف‎, حَنِيفًا,(the) upright
ح ن ك‎, أَحْتَنِكَ,to destroy
ح ن ن‎, وَحَنَانًا,And affection
ح و ب‎, حُوبًا,a sin
ح و ت‎, حِيتَانُهُمْ,their fish
ح و ج‎, حَاجَةً,(it was) a need
ح و ذ‎, ٱسْتَحْوَذَ,"to overcome, to have advantage"
ح و ر‎, يَحُورَ,to return
ح و ز‎, مُتَحَيِّزًا,(to) join
ح و ش‎, حَاشَ,Forbid
ح و ط‎, أَحَاطَ,"to surround, to encompass"
ح و ل‎, حَالَ,to come
ح و ي‎, أَحْوَىٰ,dark
ح ي ث‎, حَيْثُ,wherever
ح ي د‎, تَحِيدُ,to avoid
ح ي ر‎, حَيْرَانَ,confused
ح ي ص‎, مَحِيصًا,any escape
ح ي ض‎, يَحِضْ,to menstruate
ح ي ف‎, يَحِيفَ,to be unjust
ح ي ق‎, حَاقَ,"to surround, to encompass, to envelope"
ح ي ن‎, حِينٍ,a period
ح ي ي‎, حَىَّ,to live
خ ب أ‎, الْخَبْءَ,the hidden
خ ب ت‎, أَخْبَتُ,to be humble
خ ب ث‎, خَبُثَ,to be bad
خ ب ر‎, أَخْبَارِكُمْ,your news
خ ب ز‎, خُبْزًا,bread
خ ب ط‎, يَتَخَبَّطُ,to confound
خ ب ل‎, خَبَالًا,(any) ruin
خ ب و‎, خَبَتْ,to subside
خ ت ر‎, خَتَّارٍ,traitor
خ ت م‎, خَتَمَ,to seal
خ د د‎, الْأُخْدُودِ,(of) the pit
خ د ع‎, يَخْدَعُ,to deceive
خ د ن‎, أَخْدَانٍ,secret lovers
خ ذ ل‎, يَخْذُلْ,to forsake
خ ر ب‎, يُخْرِبُ,to destroy
خ ر ج‎, خَرَجَ,"to go out, to come out, to depart, to leave"
خ ر د ل‎, خَرْدَلٍ,a mustard
خ ر ر‎, خَرَّ,to fall
خ ر ص‎, يَخْرُصُ,"to guess, to lie"
خ ر ط م‎, الْخُرْطُومِ,the snout
خ ر ق‎, خَرَقَ,"to falsely attribute, to tear"
خ ز ن‎, خَزَائِنُ,(are the) treasures
خ ز ي‎, نَخْزَىٰ,to be disgraced
خ س أ‎, ٱخْسَـُٔ,to be despised
خ س ر‎, خَسِرَ,to lose
خ س ف‎, خَسَفَ,to cause to swallow
خ ش ب‎, خُشُبٌ,pieces of wood
خ ش ع‎, خَشَعَتِ,to become humble
خ ش ي‎, خَشِىَ,to fear
خ ص ص‎, يَخْتَصُّ,to choose
خ ص ف‎, يَخْصِفَ,to fasten
خ ص م‎, ٱخْتَصَمُ,to dispute
خ ض د‎, مَخْضُودٍ,thornless
خ ض ر‎, الْأَخْضَرِ,[the] green 
خ ض ع‎, تَخْضَعْ,to be soft
خ ط أ‎, أَخْطَأْ,"to err, to make mistake"
خ ط ب‎, خَاطَبَ,to address
خ ط ط‎, تَخُطُّ,to write
خ ط ف‎, خَطِفَ,to snatch
خ ط و‎, خُطُوَاتِ,(the) footsteps (of)
خ ف ت‎, تُخَافِتْ,to be silent
خ ف ض‎, ٱخْفِضْ,to lower
